"TOTAL_AREA","PID","CITY_CODE","PROP_NAME","SITUS","CITY_SITUS","ZIP_SITUS","county","latitude","longitude","location_type","good","building_type"
"282422000000017","256","ORG","EMBASSY SUITES","8204 LAKE ST","ORLANDO","32836","","28.390398025512695","-81.49452209472656","ROOFTOP","1","commercial"
"282335782500010","255","ORG","WAL-MART SUPERCENTER #4332","8990 TURKEY LAKE RD","ORLANDO","32819","","28.440244674682617","-81.47630310058594","ROOFTOP","1","commercial"
"312203000000004","255","ORG","WESTINGHOUSE ENERGY CENTER","4400 N ALAFAYA TRL","ORLANDO","32826","","28.603445053100586","-81.21099090576172","ROOFTOP","1","commercial"
"312306000000038","255","ORG","FAITH ASSEMBLY OF GOD OF ORLANDO","9307 CURRY FORD RD","ORLANDO","32825","","28.51021957397461","-81.25404357910156","ROOFTOP","1","commercial"
"312210896501000","254","ORG","STERLING UNIVERSITY APARTMENTS PHASE II","12101 STERLING UNIVERSITY LN","ORLANDO","32826","","28.59415054321289","-81.20943450927734","ROOFTOP","1","commercial"
"302215000000007","253","ORG","LAKEVIEW OFFICE PARK","1025 S SEMORAN BLVD","ORLANDO","32792","","28.58013916015625","-81.30624389648438","ROOFTOP","1","commercial"
"282229894000010","253","OCO","WAL-MART SUPER CENTER","10500 W COLONIAL DR","OCOEE","34761","","28.549657821655273","-81.53184509277344","ROOFTOP","1","commercial"
"292425168301008","252","ORG","MARTIN BROWER/ TURANO FLORIDA BUN BAKERY","151 MARTIN BROWER RD","ORLANDO","32824","","28.369892120361328","-81.37389373779297","ROOFTOP","1","commercial"
"292422813900010","251","ORG","SOUTHCHASE VILLAGE SHOPPING CTR","12313 S ORANGE BLOSSOM TRL","ORLANDO","32837","","28.385086059570312","-81.40274047851562","ROOFTOP","1","commercial"
"272015000000003","251","ORG","MONTEREY MUSHROOM PLANT","5949 SADLER RD","ORLANDO","32757","","28.748998641967773","-81.6163330078125","RANGE_INTERPOLATED","1","commercial"
